id,has_website,is_scraped,is_filtered
8537314356,,False,False
9065952339,,False,False
9274893539,True,False,False
9350766921,True,True,False
9381403405,True,True,False
9514136696,True,True,False
9514136698,True,True,False
9529779003,True,True,False
9555618861,,False,False
9800319929,True,True,False
9832402717,True,True,False
9914824152,True,True,False
9997556528,,False,False
10031814189,,False,False
10140233773,True,True,False
10156961255,,False,False
10262933051,,False,False
10290989011,True,True,False
10581517303,,False,False
10581639707,True,True,False
10727873562,True,False,False
10791215705,True,True,False
11293701959,,False,False
11413486822,True,True,False
11503702070,,False,False
11920082769,,False,False
12000710869,True,True,False
12533458853,True,True,False
12718300663,,False,False
30859233,,False,False
33063987,True,True,False
33064271,True,True,False
101292376,True,True,False
101292381,True,True,False
253201074,True,True,False
264139177,,False,False
265618079,True,True,False
265627185,True,True,False
277020070,,False,False
278824654,True,False,False
279388840,True,True,False
279803128,,False,False
280130123,True,True,False
280528098,True,True,False
280528108,True,True,False
282117807,True,False,False
282772930,True,True,False
282774221,True,True,False
283213579,True,True,False
286879019,True,True,False
286879681,True,True,False
286879693,True,True,False
286879695,True,True,False
286879702,True,True,False
286879707,True,True,False
286879724,False,True,False
286879726,True,True,False
286879727,True,True,False
286879728,True,True,False
286879731,True,True,False
286879738,True,True,False
286879746,,False,False
286879756,False,True,False
286879773,,False,False
286879776,True,False,False
288961425,True,False,False
290099613,True,True,False
290798607,True,True,False
290798624,,False,False
291586179,True,True,False
302386906,True,True,False
305473588,,False,False
308922474,,False,False
314426268,True,True,False
315923037,True,True,False
318356591,,False,False
321461479,,False,False
321488213,,False,False
321805133,,False,False
364806042,True,True,False
364806868,,False,False
366579911,,False,False
366919554,True,True,False
369749509,,False,False
371692064,True,True,False
379712215,True,True,False
418403106,True,True,False
428548525,True,True,False
433462371,,False,False
438280379,True,True,False
438280382,True,True,False
440675806,True,False,False
440676009,True,True,False
440676260,,False,False
444434142,True,True,False
445018177,,False,False
447293342,True,True,False
448188883,True,True,False
448802163,True,True,False
450544536,True,True,False
450670955,True,False,False
469899871,,False,False
469899876,,False,False
470530780,,False,False
471592885,True,True,False
471592887,,False,False
479748176,True,True,False
481168412,True,True,False
481169013,,False,False
481175225,,False,False
489741752,True,True,False
507607982,True,False,False
514536836,True,True,False
521161221,True,True,False
537512696,,False,False
537955663,,False,False
540599716,True,True,False
547946831,True,True,False
549292896,True,True,False
550199534,,False,False
550305631,True,True,False
559767084,True,True,False
566388511,,False,False
583398360,,False,False
587665946,True,True,False
598242991,True,True,False
603026055,True,False,False
603760295,True,False,False
606970718,True,True,False
608475577,True,True,False
610380079,True,False,False
614862176,,False,False
616117476,,False,False
662751818,True,True,False
662759350,True,False,False
663576428,True,False,False
663576545,True,True,False
666998446,True,True,False
671654413,True,True,False
676805873,,False,False
677019401,True,True,False
679787446,False,False,False
687752023,,False,False
693408057,,False,False
693408074,,False,False
693658412,True,True,False
698977265,,False,False
713608390,True,True,False
717866254,True,True,False
718484447,,False,False
736217616,,False,False
738207062,True,True,False
745461263,True,True,False
746737843,True,True,False
761255425,True,False,False
761255427,True,True,False
761421648,,False,False
770057331,True,False,False
793571864,,False,False
810140884,,False,False
824801772,True,True,False
836516188,True,True,False
845978224,,False,False
859277463,,False,False
877245152,False,False,False
879369756,,False,False
885979320,True,True,False
886017811,,False,False
890980932,True,True,False
895438643,True,True,False
903411715,True,True,False
920130680,True,False,False
921188291,,False,False
921188295,True,True,False
965867260,True,True,False
985983295,,False,False
1027856341,,False,False
1066324526,True,True,False
1070822842,,False,False
1094749801,True,True,False
1094749821,,False,False
1105970317,True,True,False
1111714999,True,True,False
1120491295,,False,False
1141853564,,False,False
1161001372,True,True,False
1187465093,True,True,False
1197466712,,False,False
1228501903,,False,False
1229594472,,False,False
1255389949,,False,False
1257134829,,False,False
1265637098,True,True,False
1274323364,True,True,False
1278222632,True,True,False
1289493673,True,True,False
1336438220,False,False,False
1336722053,True,False,False
1337634616,True,False,False
1337680384,True,False,False
1351123642,True,True,False
1353091538,,False,False
1390081850,True,True,False
1426315505,True,True,False
1444811551,True,True,False
1452875551,,False,False
1465281035,True,False,False
1505749774,,False,False
1505749775,True,False,False
1521343643,,False,False
1529453780,,False,False
1556325173,,False,False
1589707931,True,True,False
1601611293,True,True,False
1608381933,True,True,False
1615754886,True,True,False
1617754527,,False,False
1620303300,True,True,False
1621590595,True,True,False
1621591133,,False,False
1634592903,,False,False
1635095740,True,True,False
1640973217,,False,False
1676893043,True,True,False
1690079407,True,True,False
1698400308,True,False,False
1725382447,True,True,False
1738559451,True,True,False
1739073746,,False,False
1743983162,True,True,False
1748809848,,False,False
1753828097,True,True,False
1767959522,,False,False
1767960410,,False,False
1770773316,,False,False
1794102442,True,True,False
1819875926,True,True,False
1826074066,,False,False
1826078325,True,True,False
1837951100,True,False,False
1853060089,True,True,False
1873470971,True,True,False
1882174870,,False,False
1894804942,,False,False
1910459879,,False,False
1912987005,True,True,False
1913238835,True,True,False
1942690768,True,False,False
1945975132,,False,False
1946749560,,False,False
1976327217,True,True,False
1978563229,True,True,False
2015238904,,False,False
2104234181,True,True,False
2129735407,,False,False
2143320639,True,True,False
2147999011,True,True,False
2153470055,True,False,False
2172194001,,False,False
2174053498,True,True,False
2174062851,True,True,False
2174067640,True,True,False
2208907675,True,True,False
2210018797,,False,False
2212126271,True,True,False
2212837861,,False,False
2226446859,,False,False
2285924101,,False,False
