Nooba Kesselhaus|Anni Yao|5|2023-05-25
Nooba Kesselhaus|Evan Reif|3|2025-02-28
Nooba Kesselhaus|Ariffin Davies|4|2022-02-15
Nooba Kesselhaus|Paolo Laricchiuta|5|2025-03-31
Restaurant Pizzeria Rosenberg|Patrizia Doni|1|2024-09-28
Restaurant Pizzeria Rosenberg|Thomas Sentou|4|2023-07-28
Restaurant Pizzeria Rosenberg|Martaaa rys|5|2020-09-29
Restaurant Pizzeria Rosenberg|Fabien Venon|5|2022-09-05
Restaurant Pizzeria Rosenberg|Lobanegra73 Lobanegra73|5|2020-08-29
National|Yuji Watanabe|5|2024-07-15
National|Steffany walhout|5|2024-09-15
National|Simon Gättelin|5|2023-11-10
National|Adrian Birrer|4|2025-02-04
National|Bas CH|4|2022-02-12
Grand Cafe du Musee|Bas CH|4|2021-09-17
Grand Cafe du Musee|Andrea Fuchs|5|2025-03-25
Grand Cafe du Musee|Yoga Cristian Bolliger|5|2025-05-14
Grand Cafe du Musee|Guido Wassermann|5|2024-03-20
Grand Cafe du Musee|Sabrina Wernli (Zimetsternli)|5|2024-02-07
Oliveira|HYEJUNG (Lucia)|5|2025-01-21
Oliveira|Maria Galani|5|2024-06-07
Oliveira|Vero Lopez|1|2023-05-25
Oliveira|siraj berry|5|2022-06-14
Oliveira|Claudio Ferreira|4|2024-06-15
DE•TAPAS|Emilija Angelovska|5|2025-02-16
DE•TAPAS|Stephen Schild|5|2023-05-16
DE•TAPAS|Alexander St-John (A l e x)|4|2022-07-21
DE•TAPAS|Maurice|5|2024-08-24
DE•TAPAS|Urs Grob (Woerf)|5|2019-11-12
El Burrito Feliz Winterthur|Tanja Stöckli|5|2025-04-14
El Burrito Feliz Winterthur|Preston Hereford|5|2024-09-23
El Burrito Feliz Winterthur|Mathias Fuchs|5|2024-04-19
El Burrito Feliz Winterthur|Thomas S.|5|2025-05-16
El Burrito Feliz Winterthur|Manuela Wenk|5|2022-07-22
Manta|Ambos Rot|4|2018-02-20
Manta|C M|4|2020-07-08
Manta|Aime Syed|4|2023-11-26
Manta|Aaron Barlow|5|2023-03-08
Manta|Johan Schneider|5|2017-03-31
Residenz Restaurant|Srboljub Vukojević|5|2019-07-16
Residenz Restaurant|Jordi Renedo|5|2019-08-16
Residenz Restaurant|Franklin Ho|5|2020-12-05
Residenz Restaurant|Adrian Sulzer|5|2023-06-04
Residenz Restaurant|Loredana Schmid|5|2019-11-29
Sumak Sumak|Tim S|5|2025-04-08
Sumak Sumak|Cora|5|2025-03-14
Sumak Sumak|Noe Mi|5|2023-09-08
Sumak Sumak|albero b.|4|2025-06-30
Sumak Sumak|Oriane P.H.|3|2023-06-11
Restaurant Orsini|Melanie Bohn|3|2024-12-22
Restaurant Orsini|ilhem milles|5|2025-07-03
Restaurant Orsini|Daniel Maffiew|5|2017-04-21
Restaurant Orsini|Tanja Müller|5|2025-02-21
Restaurant Orsini|Bruna Grieshaber|5|2019-08-01
Pizzeria La Mirada|Valeria Gomez|5|2024-03-17
Pizzeria La Mirada|Sabine Vaterlaus|5|2025-01-31
Pizzeria La Mirada|Ghost Lander|5|2022-07-30
Pizzeria La Mirada|Gabriel Györffy|5|2022-11-14
Pizzeria La Mirada|Felix Radu|5|2023-08-09
Bistro Dimensione|David Muñoz|2|2025-04-06
Bistro Dimensione|Francesca Venturini|4|2024-10-15
Bistro Dimensione|Nilton Cesar Verlangieri Alves|5|2025-04-29
Bistro Dimensione|Erth Sandoval|5|2016-06-21
Bistro Dimensione|Dr. Rolf Guenter Poluha|5|2024-02-09
Caffè Spettacolo|Bahar Al Bahar|1|2025-03-31
Caffè Spettacolo|Lucia Messeguer|5|2024-06-02
Caffè Spettacolo|Nader Dirany|5|2015-11-23
Caffè Spettacolo|Lex|1|2023-11-22
Caffè Spettacolo|Isabella|5|2025-05-02
Restaurant Eichmuehle|Gerd Flaig|5|2019-03-24
Restaurant Eichmuehle|Anne Piccoli|4|2019-07-01
Restaurant Eichmuehle|Alba Gutierrez Pedemonte|3|2017-02-08
Restaurant Eichmuehle|Gloria Ulmann Valencia|5|2020-10-23
Restaurant Eichmuehle|Markus Kuenzli|5|2025-06-05
Restaurant Banane|David Hansen M.D.|5|2024-08-02
Restaurant Banane|Christian S.|5|2024-11-19
Restaurant Banane|I5H9 C|4|2025-05-11
Restaurant Banane|Philipp Meier|1|2025-06-14
Restaurant Banane|Lucky Luke|5|2025-03-25
Chez Grisoni Winterthur|Xo Xo|5|2023-08-19
Chez Grisoni Winterthur|Yv Be|5|2023-09-18
Chez Grisoni Winterthur|Michel Beeler|5|2025-04-10
Chez Grisoni Winterthur|Michael Strickler|5|2023-05-27
Chez Grisoni Winterthur|Gabriela Schaufelberger-Cadosch|5|2022-09-22
Siam Chili|Chat Vorachat|5|2018-12-10
Siam Chili|MAX IMIM|5|2024-12-01
Siam Chili|Kampi Staub|5|2022-06-02
Siam Chili|Stefan Sahli|5|2019-05-08
Siam Chili|Timon Wirth|5|2021-07-21
Restaurant Krone|Ana Rod|5|2022-08-12
Restaurant Krone|Thorben Croisé|3|2024-10-14
Restaurant Krone|Melvin Dizon|5|2023-10-21
Restaurant Krone|Valentina Arcera|5|2022-04-29
Restaurant Krone|Madeleine Deshaires|4|2020-11-15
Incontro|Manuel|4|2025-04-06
Incontro|Florian von Aesch|5|2018-07-21
Incontro|Alec Jeffery|5|2020-08-28
Incontro|Joe Goodbread|5|2017-05-29
Incontro|Monita Fadya|5|2020-10-13
Restaurant Argana|shreeya nema|5|2025-04-07
Restaurant Argana|Rich Davidson|5|2024-07-17
Restaurant Argana|Anni Yao|4|2023-05-02
Restaurant Argana|Wolf|5|2024-09-18
Restaurant Argana|Nóra Ökrös|5|2023-12-01
Gocha Bar & Restaurant|Nattanamat PvGualdi|5|2023-08-24
Gocha Bar & Restaurant|Delia Khan|5|2024-10-15
Gocha Bar & Restaurant|Gabriela Pino|5|2023-08-23
Gocha Bar & Restaurant|Frederik|5|2023-07-20
Gocha Bar & Restaurant|BIB|1|2024-08-06
Euro Pizza|Kristina Fattorello|5|2024-09-05
Euro Pizza|Haris Redzepagic (JiSiN)|4|2016-07-01
Euro Pizza|David Tannheimer|5|2024-02-02
Euro Pizza|Tristan Boersma|5|2025-01-31
Euro Pizza|Dimitrios E. Christodoulakis|5|2022-01-31
Locanda Trivisano|Popsy Lazo|5|2025-05-30
Locanda Trivisano|Stephanie Chau|4|2025-02-18
Locanda Trivisano|Angela Ciancio|5|2023-08-05
Locanda Trivisano|Elle Soù|4|2024-04-06
Locanda Trivisano|Jan David Nuñez Lange|4|2024-12-30
Rosa Pulver|Evan Reif|5|2025-03-05
Rosa Pulver|June|5|2023-03-01
Rosa Pulver|Kevin Wenger|4|2021-07-21
Rosa Pulver|Rene Baur|5|2021-12-11
Rosa Pulver|Silk Silk|1|2022-08-25
Restaurant alte Mühle|Marcel Andre C.|5|2019-03-20
Restaurant alte Mühle|Tony Brook|4|2018-08-28
Restaurant alte Mühle|Elisabeth Bänziger|2|2025-07-09
Restaurant alte Mühle|Christian Waefler|5|2024-08-11
Restaurant alte Mühle|Laura Brotzge-Bascones|5|2024-01-26
Restaurant Rössli|Stefan|5|2024-09-08
Restaurant Rössli|Armin Kasumovic|5|2025-04-08
Restaurant Rössli|Funachra|5|2022-10-23
Restaurant Rössli|Senn Ismaili AG|5|2024-07-23
Restaurant Rössli|Claudia Zahnd-Prezioso|5|2021-10-31
Pizzeria al Agi-M|Shasivar Arsllani|5|2021-12-21
Pizzeria al Agi-M|Jay Justin Love|5|2023-06-10
Pizzeria al Agi-M|Bob Stanley|5|2024-03-29
Pizzeria al Agi-M|Federica Massimo|1|2021-07-09
Wintialp|Anastasia Kisel|5|2024-12-17
Wintialp|shir maor|5|2024-12-07
Wintialp|romeny roka|4|2024-12-11
Wintialp|Andre M.|5|2025-01-22
Wintialp|Sarah De grisse|2|2024-11-23
Café Bistro 'Am Römerholz'|Dana Feldman|5|2024-02-03
Café Bistro 'Am Römerholz'|Karin Williams|4|2020-08-09
Café Bistro 'Am Römerholz'|thomas weber|5|2023-01-21
Café Bistro 'Am Römerholz'|Monica Mazza|4|2023-09-24
Café Bistro 'Am Römerholz'|Siegfried Ehmann|4|2021-04-24
Domino's Pizza Winterthur Neuwiesen|Roshan D|2|2024-11-28
Domino's Pizza Winterthur Neuwiesen|Clarena Amatha|5|2023-04-30
Domino's Pizza Winterthur Neuwiesen|Hakim Touzani|1|2025-05-26
Domino's Pizza Winterthur Neuwiesen|Hanna Brahme|5|2022-10-07
Domino's Pizza Winterthur Neuwiesen|Bonnie|3|2018-04-15
Yooji's Kesselhaus|Sachin Bahadur|5|2025-07-05
Yooji's Kesselhaus|fambestera|5|2025-02-13
Yooji's Kesselhaus|benjamin cadavi|5|2025-06-20
Yooji's Kesselhaus|Desi A. C.|1|2021-05-20
Yooji's Kesselhaus|Marianna K.|5|2024-08-28
Tandoor Restaurant|Boscenco Lucian|2|2025-03-21
Tandoor Restaurant|Stefan Wipraechtiger|5|2024-06-17
Tandoor Restaurant|Hermann de Ciutiis|5|2024-12-17
Tandoor Restaurant|Manuel Bänziger|5|2019-09-22
Tandoor Restaurant|Kawaiiurty ur fav|5|2024-12-17
Frischtheke Café & Bistro|Cyril Khan|5|2025-04-03
Frischtheke Café & Bistro|Brunner Manuela|5|2025-03-28
Frischtheke Café & Bistro|The Contract Lawyer|5|2023-06-05
Frischtheke Café & Bistro|Simone Anderson|5|2024-12-10
Frischtheke Café & Bistro|Pascal Gamper|5|2024-12-10
Tibet Bistro|VERONICA s|5|2023-10-01
Tibet Bistro|Hannah Hotz|5|2024-08-18
Tibet Bistro|Tony Tony|3|2024-04-13
Tibet Bistro|NLS|3|2023-03-30
Tibet Bistro|sahana d n|3|2024-04-10
Gianni's Pizzeria|Angela Tref|5|2019-07-29
Gianni's Pizzeria|Relic Miljan|5|2024-09-05
Gianni's Pizzeria|Roger Hubacher|5|2022-01-03
Gianni's Pizzeria|Claude Jaermann|5|2025-03-17
Gianni's Pizzeria|Domenico Grenci|5|2022-01-15
Big Burger|Francesco Malagrinò|5|2025-06-23
Big Burger|Cristina Cacau|5|2025-03-16
Big Burger|Justalbio|5|2022-10-09
Big Burger|Marco Horacio|5|2024-03-09
Big Burger|Chill|4|2025-06-19
Tres Amigos Winterthur|Tim S|3|2024-09-15
Tres Amigos Winterthur|faride tehrani|5|2025-01-14
Tres Amigos Winterthur|Brett Haight|3|2025-02-17
Tres Amigos Winterthur|Andrew rea|5|2025-03-23
